recommendation_id,statement_key,recommendation_class,level_of_evidence,document_family,clinical_topic,recommendation_text,population,disease,clinical_state,severity,time_window,event_anchor,numeric_thresholds,care_phase,intervention,comparator,outcome,conditions,exclusions,clinical_temporality,temporal_qualifiers,guidance_temporality,care_setting,specialty,sub_specialty,source_locator,information_weight,weight_score,weight_rationale,extraction_confidence,confidence_rationale,clinical_entities,execution_trigger,execution_trigger_population,execution_trigger_state,execution_trigger_disease,execution_trigger_time,execution_trigger_anchor,execution_trigger_exclusions,execution_trigger_numeric_constraints,execution_trigger_qualifiers,execution_trigger_constraints,execution_action,execution_prerequisites,execution_contraindications,execution_outcome
GR-003362919847,EACTS-STS-AORTIC-SYNDROMES-2024:S370,,,guideline_generic,General Coronary Revascularization,IIa C - Surgery before pregnancy in women with aortic disease Aortic repair before pregnancy is recommended in patients with Marfan’s syndrome and aortic root diameter >_45 mm,,,,,,,,,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.67 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:IIa C - Surgery before pregnancy in women with aortic disease Aortic repair before pregnancy is recommended in patients,,,,,,,,,,,is recommended,,,
GR-00B47FFFCCD9,EACTS-STS-AORTIC-SYNDROMES-2024:S208,,,guideline_generic,General Coronary Revascularization,I C - The use of the term ‘deep hypothermia’ is recommended for core temperatures <_20,,,,,,,,,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.41 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:I C - The use of the term ‘deep hypothermia’ is recommended for core temperatures <_20,,,,,,,,,,,is recommended,,,
GR-01AF50A2DB89,EACTS-STS-AORTIC-SYNDROMES-2024:S025,,,guideline_generic,General Coronary Revascularization,"Further study is required, but, eventually, regional specialization for the treatment of AD, while maintaining adequate access to care, may optimize outcomes, especially for highmortality conditions and high-risk procedures",,,,,,,,,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.15 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:Further study is required, but, eventually, regional specialization for the treatment of AD, while maintaining adequate",,,,,,,,,,,,,,
GR-01BF2F7BD0F8,EACTS-STS-AORTIC-SYNDROMES-2024:S074,,,guideline_generic,General Coronary Revascularization,"It is useful in the longitudinal monitoring of the aortic root and ascending aortic dilatation, provided these aortic segments are well visualized",,,,,,,,,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.20 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:It is useful in the longitudinal monitoring of the aortic root and ascending aortic dilatation, provided these aortic se",,,,,,,,,,,,,,
GR-03A343825185,EACTS-STS-AORTIC-SYNDROMES-2024:S348,,,guideline_generic,General Coronary Revascularization,"In symptomatic patients (dysphagia, dyspnoea) operative management should guarantee full decompression of the involved surrounding structures",symptomatic (dysphagia,,symptomatic,,,,,,,,,(dysphagia,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.64 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.62,recommendation-language; population-extracted; source-locator,population:symptomatic (dysphagia; condition:(dysphagia,symptomatic (dysphagia; (dysphagia,symptomatic (dysphagia,symptomatic,,,,,,(dysphagia,population:symptomatic (dysphagia [eq] | clinical_state:symptomatic [eq] | condition:(dysphagia [contains],,(dysphagia,,
GR-03D382295F73,EACTS-STS-AORTIC-SYNDROMES-2024:S296,,,guideline_generic,General Coronary Revascularization,"IIa C - In patients with intact AAA with suitable anatomy for either open or EVAR, a shared decision-making process for each approach, including life expectancy, is recommended",,,,,,,,,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.56 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:IIa C - In patients with intact AAA with suitable anatomy for either open or EVAR, a shared decision-making process for",,,,,,,,,,,is recommended,,,
GR-044E944587D1,EACTS-STS-AORTIC-SYNDROMES-2024:S029,,,guideline_generic,General Coronary Revascularization,"IIa B [105–118] For endovascular aortic procedures, a hybrid operating room, including an integrated imaging system, is recommended",,,,,,,,,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.15 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:IIa B [105–118] For endovascular aortic procedures, a hybrid operating room, including an integrated imaging system, is",,,,,,,,,,,is recommended,,,
GR-0865C1F1EB04,EACTS-STS-AORTIC-SYNDROMES-2024:S263,,,guideline_generic,General Coronary Revascularization,"IIa B [247, 254] Stent-graft oversizing in degenerative/ atherosclerotic aneurysms or PAUs should be considered <15–20% of the proximal and distal landing zone diameters",,,,,,,,,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.50 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:IIa B [247, 254] Stent-graft oversizing in degenerative/ atherosclerotic aneurysms or PAUs should be considered <15–20%",,,,,,,,,,,,,,
GR-096244AE1C08,EACTS-STS-AORTIC-SYNDROMES-2024:S202,,,guideline_generic,General Coronary Revascularization,I C - Temperature management Nasopharyngeal and core temperature (rectal/bladder) measurements are recommended in patients undergoing aortic arch surgery in lower body HCA,,,,,,,,,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.41 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:I C - Temperature management Nasopharyngeal and core temperature (rectal/bladder) measurements are recommended in patien,,,,,,,,,,,,,,
GR-0A2B071D1AA6,EACTS-STS-AORTIC-SYNDROMES-2024:S002,,,guideline_generic,General Coronary Revascularization,DIAGNOSTIC WORK-UP AND IMAGING 17 Recommendation : Diagnostic work-up and imaging Recommendations Levelb Clinical risk assessment Preoperative risk assessment is I B [159–162] TTE is recommended as part of the preoperative work-up,,,,,,,,,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.17 numbered,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:DIAGNOSTIC WORK-UP AND IMAGING 17 Recommendation : Diagnostic work-up and imaging Recommendations Levelb Clinical risk a,,,,,,,,,,,is recommended,,,
GR-0A967F1313F7,EACTS-STS-AORTIC-SYNDROMES-2024:S407,,,guideline_generic,General Coronary Revascularization,"In cases of SCI, patients should at least be treated with CSF drainage for 5 days to allow for reorganization of the arterial collateral spinal network [949]",,,,,,,,,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.71 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:In cases of SCI, patients should at least be treated with CSF drainage for 5 days to allow for reorganization of the art",,,,,,,,,,,,,,
GR-0AC4EC626C1F,EACTS-STS-AORTIC-SYNDROMES-2024:S378,,,guideline_generic,General Coronary Revascularization,"In women with one of the previously mentioned hereditary conditions, or a known aortopathy, pre-pregnancy genetic counselling, baseline aortic imaging and understanding of the potential risk of dissection with the aim of shared decision-making with the patient are recommended",,,,,,,,,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.68 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:In women with one of the previously mentioned hereditary conditions, or a known aortopathy, pre-pregnancy genetic counse",,,,,,,,,,,,,,
GR-0C0950EA2470,EACTS-STS-AORTIC-SYNDROMES-2024:S241,,,guideline_generic,General Coronary Revascularization,Ischaemic markers such as lactate level and lactate/pyruvate ratio should be monitored intraoperatively,,,,,,,,intra-operative,,,,,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.47 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Ischaemic markers such as lactate level and lactate/pyruvate ratio should be monitored intraoperatively,,,,,,,,,,,,,,
GR-0C14E9CEFAB3,EACTS-STS-AORTIC-SYNDROMES-2024:S048,,,guideline_generic,General Coronary Revascularization,"IIa C - When performing CT or MRI, one should consider measuring the aorta from the outer edge to the outer edge, if the vessel wall is visible",,,,,,,,,,,,performing CT or MRI,,,,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.17 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,condition:performing CT or MRI,performing CT or MRI,,,,,,,,performing CT or MRI,condition:performing CT or MRI [contains],,performing CT or MRI,,
GR-0D0F111BAA3E,EACTS-STS-AORTIC-SYNDROMES-2024:S386,,,guideline_generic,General Coronary Revascularization,"If type A aortic dissection occurs in the first 26 weeks of pregnancy, emergency cardiac surgery should be performed, recognizing the risk of foetal loss [388, 903]",,,,,,,,,,,,,,emergency,emergency,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.69 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:emergency,,,,,,,,,,,should be performed,emergency,,
GR-0D1912DB3905,EACTS-STS-AORTIC-SYNDROMES-2024:S425,,,guideline_generic,General Coronary Revascularization,"I C - In patients after open surgical treatment for non-aortic dissection or IMH pathologies, imaging surveillance is recommended after 12 months and 24 months and, in case of stable conditions, should be extended thereafter",,,stable,,,,,,,,,,,chronic-stable,stable,2026-04-27T15:24:09.930998+00:00,,Cirugia Cardiovascular,Aorta,p.72 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:stable,,,stable,,,,,,,clinical_state:stable [eq],is recommended,stable,,
