recommendation_id,statement_key,recommendation_class,level_of_evidence,document_family,clinical_topic,recommendation_text,population,disease,clinical_state,severity,time_window,event_anchor,numeric_thresholds,care_phase,intervention,comparator,outcome,conditions,exclusions,clinical_temporality,temporal_qualifiers,guidance_temporality,care_setting,specialty,sub_specialty,source_locator,information_weight,weight_score,weight_rationale,extraction_confidence,confidence_rationale,clinical_entities,execution_trigger,execution_trigger_population,execution_trigger_state,execution_trigger_disease,execution_trigger_time,execution_trigger_anchor,execution_trigger_exclusions,execution_trigger_numeric_constraints,execution_trigger_qualifiers,execution_trigger_constraints,execution_action,execution_prerequisites,execution_contraindications,execution_outcome
GR-000B5E8601C5,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S007,,,guideline_generic,General Coronary Revascularization,"Following separation from CPB and after optimization of hemodynamic conditions, TEE assessment of AV intervention (repair or replacement) should focus on detecting and determining AR severity, and examining the morphology and function of the repaired or prosthetic AV",,,,,,,,,,,,separation from CPB and after optimization of hemodynamic conditions,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.15 numbered,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,condition:separation from CPB and after optimization of hemodynamic conditions,separation from CPB and after optimization of hemodynamic conditions,,,,,,,,separation from CPB and after optimization of hemodynamic conditions,condition:separation from CPB and after optimization of hemodynamic conditions [contains],,separation from CPB and after optimization of hemodynamic conditions,,
GR-004FB7468D40,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S018,,,guideline_generic,General Coronary Revascularization,"For optimal positioning of this device, the inlet area should be about .5 cm below the AV, the outlet area should be well above the AV, and the catheter should angle toward the LV apex, away from the LV wall and the MV",,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.34 numbered,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:For optimal positioning of this device, the inlet area should be about .5 cm below the AV, the outlet area should be wel",,,,,,,,,,,,,,
GR-00672DDD6621,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S056,,,guideline_generic,General Coronary Revascularization,"Comprehensive evaluation of the prosthetic valve should be performed after complete separation from CPB, and in conditions of optimized preload, afterload, contractility, and heart rate",,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.11 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:Comprehensive evaluation of the prosthetic valve should be performed after complete separation from CPB, and in conditio",,,,,,,,,,,should be performed,,,
GR-067F52972A79,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S031,,,guideline_generic,General Coronary Revascularization,Mitral Stenosis.–The etiology and mechanism of mitral stenosis (MS) (rheumatic versus degenerative) should be evaluated and confirmed by 2D and 3D echocardiographic assessment,,,,,,,,,,degenerative) should be evaluated and confirmed by 2D and 3D echocardiographic assessment,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.4 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,comparator:degenerative) should be evaluated and confirmed by 2D and 3D echocardiographic assessment,,,,,,,,,,,,,,
GR-06FD2348FD17,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S111,,,guideline_generic,General Coronary Revascularization,"Re-evaluation of AR should be repeated after institution of CPB when the LV is decompressed and there is direct flow into the ascending aorta through the aortic cannula, which may mimic to some degree the hemodynamic conditions during LVAD support",,,,,,,,,,,,the LV is decompressed and there is direct flow into the ascending aorta through the aortic cannula,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.29 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,condition:the LV is decompressed and there is direct flow into the ascending aorta through the aortic cannula,the LV is decompressed and there is direct flow into the ascending aorta through the aortic cannula,,,,,,,,the LV is decompressed and there is direct flow into the ascending aorta through the aortic cannula,condition:the LV is decompressed and there is direct flow into the ascending aorta through the aortic cannula [contains],,the LV is decompressed and there is direct flow into the ascending aorta through the aortic cannula,,
GR-0784DF8D9387,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S035,,,guideline_generic,General Coronary Revascularization,"In the ME 5Ch or ME LAX views, the lengths of the posterior and anterior MV leaflets (in mid-diastole), the ratio of the anterior and posterior leaflet heights measured at end-systole from the mitral annulus to the coaptation point, the end-systolic distance from the coaptation point perpendicular to the interventricular septum (IVS), also known as the ‘‘C-sept distance’’, and the angle between the MV and AV planes should be measured ()",,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.5 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:In the ME 5Ch or ME LAX views, the lengths of the posterior and anterior MV leaflets (in mid-diastole), the ratio of the",,,,,,,,,,,,,,
GR-07FEEADECA51,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S084,,,guideline_generic,General Coronary Revascularization,"The examination should focus on valve anatomy and function, as well as physiologic effects on surrounding structures, such asthe RA, RV,and interatrialand interventricular septae.The complex nature of the TVanatomy and the variability in the circumferential andradialsizeoftheTVleafletsmayrequiresubtleprobemanipulations and non-standard views with biplane imaging for more accurate identification of the TV leaflets",,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.20 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:The examination should focus on valve anatomy and function, as well as physiologic effects on surrounding structures, su",,,,,,,,,,,,,,
GR-0802B8C3B4C2,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S036,,,guideline_generic,General Coronary Revascularization,Neglects wall motion abnormalities Neglects contribution of RVOT Influenced by overall movement of the heart May be decreased in patients with otherwise normal RV function who have undergone cardiac surgery with cardiopulmonary bypass and pericardiotomy Vendor dependent (speckle tracking) M-mode M-mode Modified deep TG 5-chamber Alignment of the M-mode cursor with the longitudinal motion of the lateral tricuspid annulus should be achieved,,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.6 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Neglects wall motion abnormalities Neglects contribution of RVOT Influenced by overall movement of the heart May be decr,,,,,,,,,,,,,,
GR-0879B41BE9F2,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S105,,,guideline_generic,General Coronary Revascularization,The aortic valve repair or replacement should be evaluated as described in section .2.4,,,,,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.27 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:The aortic valve repair or replacement should be evaluated as described in section .2.4,,,,,,,,,,,,,,
GR-09116E4E6835,ASE-SCA-STS-INTRAOPERATIVE-TEE-2020:S162,,,guideline_generic,General Coronary Revascularization,The flow of severed septal perforators should also be distinguished from eccentric aortic regurgitation,,,,severe,,,,,,,,,,,,2026-04-27T15:26:06.029411+00:00,,Imagenologia,Eco,p.36 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:The flow of severed septal perforators should also be distinguished from eccentric aortic regurgitation,,,,,,,,,,,,,,
