seed_id,short_label,doi,pmid,publisher_url,access_status,validation_status,notes
A01,ACC/AHA/SCAI Revascularization 2021,10.1161/cir.0000000000001038,34882435,https://doi.org/10.1161/CIR.0000000000001038,paywalled,validated_primary,not_downloaded_legal_restriction
A02,ACC/AHA ACS 2025,10.1161/cir.0000000000001309,40014670,https://doi.org/10.1161/CIR.0000000000001309,paywalled,validated_primary,not_downloaded_legal_restriction
A03,ESC ACS 2023,10.1093/eurheartj/ehad191,40152902,https://doi.org/10.1093/eurheartj/ehad191,not_downloaded_legal_restriction,validated_primary,not_downloaded_legal_restriction
A04,ESC/EACTS Revascularization 2018,10.1093/eurheartj/ehy394,30165437,https://doi.org/10.1093/eurheartj/ehy394,not_downloaded_legal_restriction,validated_primary,not_downloaded_legal_restriction
A05,ADA Pharmacologic 2026,10.2337/dc26-s009,41358900,https://doi.org/10.2337/dc19-s009,abstract-only,validated_primary,abstract_saved_no_legal_pdf
A06,ADA CVD Risk 2026,10.2337/dc26-s010,41358899,https://doi.org/10.2337/dc26-S010,abstract-only,validated_primary,abstract_saved_no_legal_pdf
A07,ADA CKD Risk 2026,10.2337/dc26-s011,41358881,https://doi.org/10.2337/dc26-S011,abstract-only,validated_primary,abstract_saved_no_legal_pdf
A08,ADA Hospital Care 2026,10.2337/dc26-s016,41358892,https://doi.org/10.2337/dc26-S016,abstract-only,validated_primary,abstract_saved_no_legal_pdf
A10,KDIGO AKI 2012,10.1038/kisup.2012.1,41101710,https://doi.org/10.1038/kisup.2012.1,abstract-only,validated_primary,abstract_saved_no_legal_pdf
A11,ERAS Cardiac Surgery 2019,10.1093/ejcts/ezag083,41701146,https://doi.org/10.1007/978-3-030-33443-7_1,abstract-only,unresolved_partial,Low title similarity to seed (0.41); manual review required.
A12,STS PBM Update,10.1053/j.jvca.2021.03.011,34217578,https://linkinghub.elsevier.com/retrieve/pii/S1053077021002536,paywalled,validated_primary,not_downloaded_legal_restriction
A13,EACTS PBM 2024,10.1093/ejcts/ezae352,39385500,https://doi.org/10.1093/ejcts/ezae352,paywalled,validated_primary,not_downloaded_legal_restriction
A14,STS Arterial Conduits,10.1016/j.athoracsur.2015.09.100,26680310,https://linkinghub.elsevier.com/retrieve/pii/S0003497515016082,abstract-only,validated_primary,abstract_saved_no_legal_pdf
A15,Choice of Conduits Review,10.1016/j.jtcvs.2023.06.017,37542480,https://doi.org/10.1016/j.jtcvs.2023.06.017,paywalled,validated_primary,not_downloaded_legal_restriction
B16,FREEDOM,10.1161/circoutcomes.125.012310,41697273,https://doi.org/10.1007/s11883-014-0426-0,abstract-only,unresolved_partial,Low title similarity to seed (0.38); manual review required.
B17,FREEDOM Follow-On,10.1016/j.jacc.2018.11.001,30428398,https://linkinghub.elsevier.com/retrieve/pii/S0735109718389940,abstract-only,validated_primary,abstract_saved_no_legal_pdf
B18,SYNTAX 10-year,10.1016/j.carrev.2021.08.027,34503909,https://linkinghub.elsevier.com/retrieve/pii/S1553838921006345,abstract-only,unresolved_partial,Low title similarity to seed (0.59); manual review required.
B19,FAME 3,10.4330/wjc.v17.i9.111044,41024968,https://doi.org/10.1056/nejmc2202491,abstract-only,unresolved_partial,Low title similarity to seed (0.56); manual review required.
B20,FAME 3 five-year,10.1016/s0140-6736(25)00505-7,39727036,https://doi.org/10.1016/S0140-6736(25)00505-7,paywalled,validated_primary,not_downloaded_legal_restriction
B21,EXCEL,10.1056/nejmoa1610227,27797291,https://doi.org/10.1056/NEJMoa1610227,not_downloaded_legal_restriction,validated_primary,not_downloaded_legal_restriction
B22,EXCEL five-year,10.1056/nejmoa1909406,31562798,https://doi.org/10.1056/NEJMoa1909406,not_downloaded_legal_restriction,validated_primary,not_downloaded_legal_restriction
B23,NOBLE five-year,10.1016/s0140-6736(19)32972-1,31879028,https://linkinghub.elsevier.com/retrieve/pii/S0140673619329721,abstract-only,validated_primary,abstract_saved_no_legal_pdf
B24,PRECOMBAT ten-year,10.1161/circulationaha.120.046039,32223567,https://doi.org/10.1161/circulationaha.120.046039,abstract-only,validated_primary,abstract_saved_no_legal_pdf
B25,Left Main IPD Meta-analysis,10.1161/circulationaha.113.001258,37256598,https://doi.org/10.1016/j.carrev.2020.08.040,abstract-only,unresolved_partial,Low title similarity to seed (0.50); manual review required.
B26,ISCHEMIA,10.1056/nejmoa1915922,32227755,https://doi.org/10.1056/NEJMoa1915922,not_downloaded_legal_restriction,validated_primary,not_downloaded_legal_restriction
C27,STICH,10.1016/j.jtcvs.2010.10.031,41872899,https://linkinghub.elsevier.com/retrieve/pii/S002252231001247X,abstract-only,unresolved_partial,Low title similarity to seed (0.27); manual review required.
C28,STICHES,10.1056/nejmoa1602001,27040723,https://doi.org/10.1056/NEJMoa1602001,paywalled,validated_primary,not_downloaded_legal_restriction
C29,STICH age,10.1161/circulationaha.116.024800,27573034,https://doi.org/10.3410/f.725922934.793511258,abstract-only,validated_primary,abstract_saved_no_legal_pdf
